Prediction and Applicability Domain analysis for model:
Carcinogenicity model (IRFMN/Antares) (version 1.0.0)
(calculation core version: 1.2.2)

No.	Id	SMILES	Assessment	Predicted Mutagen activity	No. alerts for carcinogenicity	Experimental	Structural Alerts	ADI	Similarity index	Accuracy index	Concordance index	ACF index	Remarks
1	Molecule 1	O=C(O)CC(OC(=O)C)C[N+](C)(C)C	Possible NON-Carcinogen (low reliability)	Possible NON-Carcinogen	0	-		0	0.796	1	0	1	-
2	Molecule 2	Oc1cccc(c1)CO	Possible NON-Carcinogen (moderate reliability)	Possible NON-Carcinogen	0	-		0.78	0.922	0.66	0.66	1	-
3	Molecule 3	C(=C(C)C)CCl	Carcinogen (moderate reliability)	Carcinogen	1	-	Carcinogenity alert no. 57	0.766	0.869	0.674	0.674	1	-
4	Molecule 4	O=C(OCC(O)CO)CCSSCCC(=O)OCC(O)CO	Possible NON-Carcinogen (moderate reliability)	Possible NON-Carcinogen	0	-		0.663	0.762	0.332	1	1	-
5	Molecule 5	O=C(OCC(O)CO)CCSCCC(=O)OCC(O)CO	Possible NON-Carcinogen (moderate reliability)	Possible NON-Carcinogen	0	-		0.662	0.77	0.324	1	1	-
6	Molecule 6	C[Sn+3].C(C[S-])C(=O)OCC(C(C(C(CO)O)O)O)O.C(C[S-])C(=O)OCC(C(C(C(CO)O)O)O)O.C(C[S-])C(=O)OCC(C(C(C(CO)O)O)O)O	[ERROR]	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: molecule has disconnected structures. [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: molecule has disconnected structures.
7	Molecule 7	O=C(OCC(O)C(O)C(O)C(O)CO)CCS	Possible NON-Carcinogen (moderate reliability)	Possible NON-Carcinogen	0	-		0.733	0.806	0.661	0.67	1	-
8	Molecule 8	O=C(OCC(O)C(O)C(O)C(O)COC(=O)CCS)CCS	Possible NON-Carcinogen (moderate reliability)	Possible NON-Carcinogen	0	-		0.622	0.815	0.338	0.669	1	-
9	Molecule 9	O(CC)C(OCCC(C)CCC=C(C)C)C	Possible NON-Carcinogen (good reliability)	Possible NON-Carcinogen	0	-		0.882	0.778	1	1	1	-
10	Molecule 10	CCCCCCCCCCCCCCCOCCCNC(=O)C(CC(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]	[ERROR]	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: molecule has disconnected structures. [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: molecule has disconnected structures.
11	Molecule 11	O=C(O)CC(C(=O)NCCCOCCCCCCCCCCCCCCC)S(=O)(=O)O	Carcinogen (moderate reliability)	Carcinogen	1	-	Carcinogenity alert no. 107	0.608	0.796	0.329	0.658	1	-
