Prediction and Applicability Domain analysis for model:
Carcinogenicity model (IRFMN/ISSCAN-CGX) (version 1.0.0)
(calculation core version: 1.2.2)

No.	Id	SMILES	Assessment	Predicted Mutagen activity	No. alerts for carcinogenicity	Experimental	Structural Alerts	ADI	Similarity index	Accuracy index	Concordance index	ACF index	Remarks
1	Molecule 1	O=C(O)CC(OC(=O)C)C[N+](C)(C)C	Possible NON-Carcinogen (low reliability)	Possible NON-Carcinogen	0	-		0	0.79	0.672	0	1	-
2	Molecule 2	Oc1cccc(c1)CO	Possible NON-Carcinogen (moderate reliability)	Possible NON-Carcinogen	0	-		0.769	0.906	0.653	0.653	1	-
3	Molecule 3	C(=C(C)C)CCl	Possible NON-Carcinogen (low reliability)	Possible NON-Carcinogen	0	-		0	0.862	0	0	1	-
4	Molecule 4	O=C(OCC(O)CO)CCSSCCC(=O)OCC(O)CO	Possible NON-Carcinogen (moderate reliability)	Possible NON-Carcinogen	0	-		0.782	0.75	0.664	1	1	-
5	Molecule 5	O=C(OCC(O)CO)CCSCCC(=O)OCC(O)CO	Possible NON-Carcinogen (moderate reliability)	Possible NON-Carcinogen	0	-		0.782	0.755	0.657	1	1	-
6	Molecule 6	C[Sn+3].C(C[S-])C(=O)OCC(C(C(C(CO)O)O)O)O.C(C[S-])C(=O)OCC(C(C(C(CO)O)O)O)O.C(C[S-])C(=O)OCC(C(C(C(CO)O)O)O)O	[ERROR]	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: molecule has disconnected structures. [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: molecule has disconnected structures.
7	Molecule 7	O=C(OCC(O)C(O)C(O)C(O)CO)CCS	Possible NON-Carcinogen (good reliability)	Possible NON-Carcinogen	0	-		0.803	0.786	1	0.674	1	-
8	Molecule 8	O=C(OCC(O)C(O)C(O)C(O)COC(=O)CCS)CCS	Possible NON-Carcinogen (moderate reliability)	Possible NON-Carcinogen	0	-		0.798	0.775	0.674	1	1	-
9	Molecule 9	O(CC)C(OCCC(C)CCC=C(C)C)C	Possible NON-Carcinogen (moderate reliability)	Possible NON-Carcinogen	0	-		0.716	0.756	0.678	0.678	1	-
10	Molecule 10	CCCCCCCCCCCCCCCOCCCNC(=O)C(CC(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]	[ERROR]	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: molecule has disconnected structures. [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: molecule has disconnected structures.
11	Molecule 11	O=C(O)CC(C(=O)NCCCOCCCCCCCCCCCCCCC)S(=O)(=O)O	Possible NON-Carcinogen (low reliability)	Possible NON-Carcinogen	0	-		0.591	0.743	0.668	0.332	1	-
