Prediction and Applicability Domain analysis for model:
Mutagenicity (Ames test) model (CAESAR) (version 2.1.13)
(calculation core version: 1.2.2)

No.	Id	SMILES	Assessment	Predicted Mutagen activity	Experimental	Structural Alerts	ADI	Similarity index	Accuracy index	Concordance index	Descriptors range check	ACF index	Remarks
1	Molecule 1	O=C(O)CC(OC(=O)C)C[N+](C)(C)C	Mutagenic (low reliability)	Mutagenic	-		0.614	0.802	0.665	0.332	True	1	-
2	Molecule 2	Oc1cccc(c1)CO	NON-Mutagenic (good reliability)	NON-Mutagenic	-		0.964	0.929	1	1	True	1	-
3	Molecule 3	C(=C(C)C)CCl	Suspect Mutagenic (moderate reliability)	Suspect Mutagenic	-	SA8 Aliphatic halogens	0.755	0.841	0.679	0.679	True	1	-
4	Molecule 4	O=C(OCC(O)CO)CCSSCCC(=O)OCC(O)CO	Mutagenic (low reliability)	Mutagenic	-		0	0.751	1	0	True	1	-
5	Molecule 5	O=C(OCC(O)CO)CCSCCC(=O)OCC(O)CO	Mutagenic (low reliability)	Mutagenic	-		0.659	0.753	1	0.332	True	1	-
6	Molecule 6	C[Sn+3].C(C[S-])C(=O)OCC(C(C(C(CO)O)O)O)O.C(C[S-])C(=O)OCC(C(C(C(CO)O)O)O)O.C(C[S-])C(=O)OCC(C(C(C(CO)O)O)O)O	[ERROR]	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: molecule has disconnected structures. [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: molecule has disconnected structures.
7	Molecule 7	O=C(OCC(O)C(O)C(O)C(O)CO)CCS	NON-Mutagenic (moderate reliability)	NON-Mutagenic	-		0.893	0.797	1	1	True	1	-
8	Molecule 8	O=C(OCC(O)C(O)C(O)C(O)COC(=O)CCS)CCS	Mutagenic (low reliability)	Mutagenic	-		0.675	0.803	1	0.323	True	1	-
9	Molecule 9	O(CC)C(OCCC(C)CCC=C(C)C)C	NON-Mutagenic (good reliability)	NON-Mutagenic	-		0.903	0.815	1	1	True	1	-
10	Molecule 10	CCCCCCCCCCCCCCCOCCCNC(=O)C(CC(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]	[ERROR]	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: molecule has disconnected structures. [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: molecule has disconnected structures.
11	Molecule 11	O=C(O)CC(C(=O)NCCCOCCCCCCCCCCCCCCC)S(=O)(=O)O	NON-Mutagenic (moderate reliability)	NON-Mutagenic	-		0.884	0.782	1	1	True	1	-
