Prediction and Applicability Domain analysis for model:
Estrogen Receptor Relative Binding Affinity model (IRFMN) (version 1.0.1)
(calculation core version: 1.2.2)

No.	Id	SMILES	Assessment	Predicted activity	Classification tree final node	Experimental	ADI	Similarity index	Accuracy index	Concordance index	Descriptors range check	ACF index	Remarks
1	Molecule 1	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Inactive (EXPERIMENTAL value)	Active	21	Inactive	0	1	0	0	True	1	-
2	Molecule 2	OCCOCCOCCOCCOCCOc1ccc(cc1)C(C)(C)CC(C)(C)C	Inactive (moderate reliability)	Inactive	8	-	0.757	0.81	1	0.501	True	1	-
3	Molecule 3	O=C(OCCOCCOC(=O)c1ccccc1)c2ccccc2	Inactive (moderate reliability)	Inactive	8	-	0.789	0.878	1	0.503	True	1	-
4	Molecule 4	O=C(OCC(OC(C)COC(=O)c1ccccc1)C)c2ccccc2	Inactive (moderate reliability)	Inactive	20	-	0.789	0.884	1	0.496	True	1	-
5	Molecule 5	n1(=O)c([S-])cccc1.[Na+]	[ERROR]	-	-	-	-	-	-	-	-	-	[Molecule error] Conversion from SMILES: molecule has disconnected structures. [Model] Unable to calculate model, input molecule is not valid. Conversion from SMILES: molecule has disconnected structures.
6	Molecule 6	O	Inactive (low reliability)	Inactive	4	-	0	0.573	1	1	False	0.6	-
7	Molecule 7	O=C(O[Na])O[Na]	[ERROR]	-	-	-	-	-	-	-	-	-	[Model] Unable to calculate some molecular descriptors, model can not be executed.
8	Molecule 8	O=C([O-])C4=C(C[n+]1ccccc1)CSC3N4(C(=O)C3(NC(=O)Cc2cccs2))	Inactive (low reliability)	Inactive	8	-	0	0.711	0	1	True	0.34	-
9	Molecule 9	Si(C)(C)(C)OSi(C)(C)OSi(C)(C)OSi(C)(C)OSi(O)(O)OSi(O)(O)OSi(O)(O)OSi(O)(O)O	[ERROR]	-	-	-	-	-	-	-	-	-	[Molecule error] For input string: "155300-4". [Model] Unable to calculate model, input molecule is not valid. For input string: "155300-4".
10	Molecule 10	O=C1O[Ca]O1	[ERROR]	-	-	-	-	-	-	-	-	-	[Model] Unable to calculate some molecular descriptors, model can not be executed.
11	Molecule 11	O=[Ti]=O	[ERROR]	-	-	-	-	-	-	-	-	-	[Model] Unable to calculate some molecular descriptors, model can not be executed.
12	Molecule 12	CCC1CCC2C(CC)CC(C)CC2(C1)	Inactive (moderate reliability)	Inactive	20	-	0.722	0.746	1	0.49	True	1	-
13	Molecule 13	O=C1NSc2ccccc12	Inactive (moderate reliability)	Inactive	4	-	0.75	0.779	1	1	True	0.85	-
14	Molecule 14	OCCOCCOCCOCCOCCO	Inactive (low reliability)	Inactive	4	-	0	0.706	1	1	False	1	-
